epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3631,1.60244,4.75301,1.25019,0.2086,0.18796,0.03033,0.0238,0.95068,4.26576,0.96248,6.02963e-05,6.02963e-05,6.02963e-05
2,39.7694,0.96475,3.02497,0.95108,0.33392,0.36253,0.17822,0.14635,0.78265,2.80493,0.91713,0.000119951,0.000119951,0.000119951
3,56.5101,0.85575,2.29568,0.92835,0.5851,0.37637,0.36763,0.29966,0.74053,1.74748,0.91056,0.00017757,0.00017757,0.00017757
4,75.2943,0.81392,1.8547,0.92273,0.72428,0.44521,0.51226,0.4312,0.67601,1.37402,0.8845,0.000175843,0.000175843,0.000175843
5,92.258,0.77984,1.59071,0.91295,0.70933,0.57132,0.6128,0.5196,0.66586,1.1178,0.88176,0.00017279,0.00017279,0.00017279
6,108.847,0.73806,1.3618,0.90095,0.71687,0.60458,0.6804,0.57455,0.6605,0.98127,0.88033,0.000169737,0.000169737,0.000169737
7,125.872,0.71882,1.1837,0.89158,0.67325,0.67084,0.72183,0.61244,0.64796,0.88907,0.876,0.000166685,0.000166685,0.000166685
8,142.729,0.73003,1.09281,0.8977,0.62157,0.73368,0.74495,0.631,0.63829,0.79201,0.87229,0.000163632,0.000163632,0.000163632
9,159.186,0.71077,1.00788,0.88793,0.67671,0.72875,0.77669,0.66098,0.64052,0.75964,0.87522,0.00016058,0.00016058,0.00016058
10,176.037,0.69158,0.94615,0.88054,0.78567,0.74771,0.81246,0.69476,0.62693,0.67427,0.87228,0.000157528,0.000157528,0.000157528
11,193.015,0.67905,0.87324,0.88139,0.71625,0.78501,0.81437,0.68949,0.64795,0.67195,0.87928,0.000154475,0.000154475,0.000154475
12,209.639,0.71311,0.8638,0.88336,0.81337,0.76643,0.82723,0.70509,0.63228,0.64811,0.871,0.000151422,0.000151422,0.000151422
13,226.051,0.67994,0.81821,0.8841,0.74599,0.79212,0.81941,0.69659,0.62265,0.62029,0.87243,0.00014837,0.00014837,0.00014837
14,243.112,0.70318,0.82645,0.89477,0.79441,0.78747,0.84055,0.72236,0.61742,0.6029,0.87026,0.000145317,0.000145317,0.000145317
15,259.977,0.65184,0.75443,0.86774,0.77578,0.82375,0.85222,0.72826,0.6103,0.58012,0.86707,0.000142265,0.000142265,0.000142265
16,276.599,0.66191,0.7384,0.87492,0.78471,0.85773,0.86803,0.74448,0.61497,0.57275,0.86737,0.000139212,0.000139212,0.000139212
17,293.081,0.63338,0.71251,0.86398,0.81882,0.82159,0.86571,0.7431,0.60442,0.57965,0.86284,0.00013616,0.00013616,0.00013616
18,310.173,0.66073,0.70042,0.87293,0.77297,0.86302,0.8733,0.74686,0.60528,0.531,0.86341,0.000133107,0.000133107,0.000133107
19,326.734,0.6465,0.69544,0.86775,0.84735,0.85466,0.89804,0.7731,0.59696,0.52758,0.86039,0.000130055,0.000130055,0.000130055
20,343.25,0.64533,0.68656,0.87507,0.83974,0.85019,0.88407,0.76299,0.60872,0.53737,0.86294,0.000127003,0.000127003,0.000127003
21,360.098,0.63438,0.66216,0.86049,0.8288,0.88279,0.91136,0.78468,0.59624,0.49788,0.85918,0.00012395,0.00012395,0.00012395
22,376.381,0.63043,0.65724,0.86479,0.83637,0.84998,0.89272,0.76776,0.60055,0.50167,0.86279,0.000120897,0.000120897,0.000120897
23,393.981,0.643,0.63788,0.86944,0.86813,0.868,0.91411,0.78947,0.59877,0.47994,0.86034,0.000117845,0.000117845,0.000117845
24,410.498,0.62506,0.60346,0.86413,0.8873,0.86151,0.89515,0.77122,0.59215,0.48404,0.86033,0.000114793,0.000114793,0.000114793
25,427.507,0.63995,0.60392,0.87148,0.86823,0.87118,0.92309,0.79754,0.5981,0.47015,0.85775,0.00011174,0.00011174,0.00011174
26,443.804,0.61259,0.58448,0.85997,0.86019,0.89911,0.92143,0.79225,0.59155,0.47267,0.85462,0.000108687,0.000108687,0.000108687
27,460.416,0.61504,0.60486,0.86552,0.87228,0.90816,0.92724,0.79589,0.60356,0.4617,0.85837,0.000105635,0.000105635,0.000105635
28,477.098,0.6202,0.58298,0.86021,0.87934,0.88782,0.9263,0.79779,0.59453,0.45084,0.85526,0.000102582,0.000102582,0.000102582
29,494.109,0.59388,0.56851,0.85094,0.88836,0.89888,0.93605,0.8122,0.58455,0.44169,0.85383,9.953e-05,9.953e-05,9.953e-05
30,510.636,0.60894,0.56141,0.85976,0.88651,0.8826,0.92515,0.80251,0.58493,0.45182,0.85291,9.64775e-05,9.64775e-05,9.64775e-05
31,526.921,0.61733,0.56527,0.85965,0.9282,0.87366,0.93451,0.80172,0.59379,0.45125,0.85719,9.3425e-05,9.3425e-05,9.3425e-05
32,544.065,0.61164,0.56045,0.85691,0.90539,0.90146,0.93728,0.8136,0.58621,0.43706,0.85266,9.03725e-05,9.03725e-05,9.03725e-05
33,561.138,0.6143,0.55044,0.86507,0.90161,0.91147,0.94343,0.82021,0.57656,0.42393,0.85041,8.732e-05,8.732e-05,8.732e-05
34,578.05,0.58934,0.52485,0.85161,0.88709,0.90301,0.94313,0.81904,0.57517,0.4344,0.8499,8.42675e-05,8.42675e-05,8.42675e-05
35,595.057,0.59401,0.52599,0.85582,0.91589,0.91261,0.94686,0.81834,0.57798,0.42808,0.85133,8.1215e-05,8.1215e-05,8.1215e-05
36,611.832,0.59526,0.52769,0.85251,0.93943,0.89728,0.95566,0.83289,0.57067,0.41579,0.84999,7.81625e-05,7.81625e-05,7.81625e-05
37,628.618,0.59639,0.52318,0.8527,0.9233,0.90561,0.94981,0.82364,0.57832,0.41064,0.85034,7.511e-05,7.511e-05,7.511e-05
38,645.192,0.58615,0.52943,0.85017,0.94576,0.89094,0.9555,0.83007,0.5782,0.41661,0.85071,7.20575e-05,7.20575e-05,7.20575e-05
39,662.439,0.59464,0.51045,0.84926,0.94371,0.89704,0.95183,0.82644,0.58493,0.41202,0.85097,6.9005e-05,6.9005e-05,6.9005e-05
40,678.916,0.57931,0.51214,0.85086,0.90914,0.9164,0.94867,0.82344,0.57672,0.41017,0.84884,6.59525e-05,6.59525e-05,6.59525e-05
41,696.278,0.59352,0.51116,0.84841,0.93674,0.89947,0.95259,0.8254,0.57894,0.41221,0.84888,6.29e-05,6.29e-05,6.29e-05
42,713.633,0.5762,0.49228,0.84791,0.93522,0.91981,0.96082,0.83251,0.57735,0.39501,0.84821,5.98475e-05,5.98475e-05,5.98475e-05
43,730.067,0.58257,0.49451,0.84966,0.93289,0.91655,0.95862,0.83172,0.58233,0.40007,0.85091,5.6795e-05,5.6795e-05,5.6795e-05
44,746.432,0.57431,0.49596,0.84511,0.94896,0.91248,0.96499,0.83938,0.57384,0.38706,0.8479,5.37425e-05,5.37425e-05,5.37425e-05
45,762.754,0.57062,0.48296,0.84371,0.9541,0.89091,0.95906,0.83724,0.56921,0.38855,0.84686,5.069e-05,5.069e-05,5.069e-05
46,779.955,0.56063,0.47124,0.84341,0.93626,0.91733,0.9568,0.83267,0.56943,0.3831,0.84762,4.76375e-05,4.76375e-05,4.76375e-05
47,796.384,0.57257,0.48947,0.8425,0.93731,0.91663,0.95976,0.83559,0.57044,0.39108,0.84685,4.4585e-05,4.4585e-05,4.4585e-05
48,813.028,0.56018,0.47731,0.8434,0.93063,0.92376,0.96285,0.83512,0.57852,0.38052,0.85078,4.15325e-05,4.15325e-05,4.15325e-05
49,831.506,0.55542,0.45558,0.83964,0.9485,0.91315,0.96092,0.83678,0.57175,0.37411,0.84766,3.848e-05,3.848e-05,3.848e-05
50,849.173,0.56462,0.46501,0.84205,0.93346,0.90552,0.95508,0.83215,0.57271,0.38653,0.84859,3.54275e-05,3.54275e-05,3.54275e-05
51,867.341,0.54022,0.39695,0.84223,0.92023,0.91612,0.9625,0.83682,0.57661,0.38884,0.84925,3.2375e-05,3.2375e-05,3.2375e-05
52,884.661,0.52993,0.3816,0.83386,0.94508,0.91326,0.96377,0.84124,0.57074,0.37486,0.84814,2.93225e-05,2.93225e-05,2.93225e-05
53,900.882,0.53208,0.37753,0.83335,0.93463,0.92627,0.95869,0.83325,0.57562,0.3777,0.84919,2.627e-05,2.627e-05,2.627e-05
54,916.844,0.528,0.37284,0.83255,0.93564,0.93232,0.96858,0.84398,0.56683,0.37095,0.84643,2.32175e-05,2.32175e-05,2.32175e-05
55,932.997,0.52824,0.37864,0.83687,0.94597,0.9302,0.97022,0.84636,0.56917,0.36522,0.84642,2.0165e-05,2.0165e-05,2.0165e-05
56,950.07,0.52191,0.37072,0.83617,0.94042,0.93758,0.96871,0.84774,0.56602,0.36435,0.84578,1.71125e-05,1.71125e-05,1.71125e-05
57,965.856,0.51611,0.36075,0.82991,0.93773,0.93164,0.96973,0.84737,0.56862,0.3626,0.84686,1.406e-05,1.406e-05,1.406e-05
58,981.736,0.51306,0.36271,0.8322,0.93921,0.93252,0.97006,0.84531,0.57179,0.36236,0.84761,1.10075e-05,1.10075e-05,1.10075e-05
59,997.693,0.51552,0.36347,0.83281,0.94409,0.92823,0.97008,0.84795,0.56791,0.36033,0.8459,7.955e-06,7.955e-06,7.955e-06
60,1015.46,0.51216,0.36286,0.83323,0.93741,0.9454,0.97133,0.84807,0.57058,0.36079,0.84695,4.9025e-06,4.9025e-06,4.9025e-06
